Deelnemer,Timestamp,Gender,Leeftijd,PSS-10 (/40),PSS-10 Niveau,PSS-4 (/16),Geen tijdsdruk,Lichte tijdsdruk,Hoge tijdsdruk,Totaal Rekenen (/60),Aantal fouten,Fouten R1,Fouten R2,Fouten R3
1,18/05/2026 15:43:25,Man,20,4,Laag stress,3,R1: 20/20,R2: 18/20,R3: 7/20,45,1,0,0,1
2,19/05/2026 10:54:12,Man,19,8,Laag stress,5,R1: 20/20,R2: 20/20,R3: 13/20,53,1,0,0,1
3,19/05/2026 11:10:55,Man,20,25,Gemiddeld stress,9,R1: 19/20,R2: 19/20,R3: 8/20,46,2,1,1,0
4,19/05/2026 11:22:43,Vrouw,18,27,Hoog stress,11,R1: 20/20,R2: 19/20,R3: 9/20,48,1,0,1,0
5,20/05/2026 10:47:11,Man,22,10,Laag stress,5,R1: 20/20,R2: 20/20,R3: 14/20,54,0,0,0,0
6,20/05/2026 11:00:59,Man,18,12,Laag stress,4,R1: 20/20,R2: 20/20,R3: 13/20,53,1,0,0,1
7,20/05/2026 11:20:45,Man,24,14,Gemiddeld stress,7,R1: 20/20,R2: 10/20,R3: 6/20,36,0,0,0,0
8,20/05/2026 11:33:06,Man,18,17,Gemiddeld stress,11,R1: 19/20,R2: 20/20,R3: 12/20,51,1,1,0,0
9,20/05/2026 11:47:07,Man,21,15,Gemiddeld stress,5,R1: 20/20,R2: 15/20,R3: 8/20,43,2,0,1,1
10,20/05/2026 12:02:13,Vrouw,24,23,Gemiddeld stress,7,R1: 20/20,R2: 6/20,R3: 4/20,30,1,0,1,0
11,21/05/2026 11:57:42,Man,19 jaar,20,Gemiddeld stress,7,R1: 20/20,R2: 20/20,R3: 8/20,48,1,0,0,1
12,26/05/2026 11:31:46,Vrouw,19,17,Gemiddeld stress,6,R1: 18/20,R2: 18/20,R3: 10/20,46,4,2,2,0
13,27/05/2026 11:31:31,Vrouw,19,30,Hoog stress,11,R1: 20/20,R2: 20/20,R3: 11/20,51,1,0,0,1
14,29/05/2026 12:04:18,Man,19,8,Laag stress,1,R1: 19/20,R2: 19/20,R3: 12/20,50,2,1,1,0
15,02/06/2026 10:30:55,Vrouw,22,5,Laag stress,1,R1: 20/20,R2: 14/20,R3: 7/20,41,1,0,0,1
16,02/06/2026 10:43:11,Vrouw,25,10,Laag stress,2,R1: 20/20,R2: 16/20,R3: 8/20,44,0,0,0,0
17,02/06/2026 10:58:38,Vrouw,21,24,Gemiddeld stress,8,R1: 18/20,R2: 11/20,R3: 3/20,32,3,2,0,1
18,02/06/2026 11:18:37,Vrouw,32,16,Gemiddeld stress,4,R1: 17/20,R2: 19/20,R3: 9/20,45,5,3,1,1
19,02/06/2026 11:33:55,Vrouw,19,18,Gemiddeld stress,8,R1: 17/20,R2: 8/20,R3: 4/20,29,4,3,1,0
20,02/06/2026 11:48:50,Man,20,19,Gemiddeld stress,8,R1: 18/20,R2: 9/20,R3: 3/20,30,3,2,0,1
